sim_id,w_r,h_si,doping,S,lambda,length,v_pi_V,v_pi_l_Vmm,loss_at_v_pi_dB_per_cm,C_at_v_pi_pF_per_cm,max_dphi_rad,cost
62,4.00E-07,9.00E-08,6.53E+20,2.13E-07,1.27E-06,6.94E-04,8.65E-01,6.01E-01,1.74E+01,2.40E+03,7.21E+01,4.81E-01
63,3.98E-07,8.00E-08,2.49E+20,6.71E-07,1.32E-06,7.86E-04,,1.96E+00,7.73E+04,,1.19E-01,3.27E+02
64,4.81E-07,1.10E-07,2.71E+20,1.19E-07,1.29E-06,5.33E-04,1.05E+00,5.60E-01,8.10E+04,8.77E+03,3.39E+01,4.92E+06
65,3.80E-07,9.00E-08,4.39E+20,3.77E-07,1.31E-06,8.68E-04,8.55E-01,7.43E-01,1.29E+01,2.37E+03,8.38E+01,5.11E-01
66,3.81E-07,1.00E-07,3.17E+20,4.05E-07,1.29E-06,7.85E-04,8.62E-01,6.77E-01,1.43E+01,2.95E+03,7.09E+01,4.73E-01
67,4.06E-07,9.00E-08,4.88E+20,3.48E-07,1.28E-06,8.47E-04,8.55E-01,7.24E-01,1.30E+01,2.36E+03,8.48E+01,4.93E-01
68,4.02E-07,9.00E-08,3.07E+20,3.87E-07,1.29E-06,9.32E-04,8.51E-01,7.93E-01,1.16E+01,2.40E+03,8.67E+01,5.42E-01
69,3.73E-07,1.00E-07,3.16E+20,5.10E-07,1.31E-06,9.46E-04,8.53E-01,8.07E-01,1.15E+01,2.73E+03,8.53E+01,5.56E-01
70,3.82E-07,9.00E-08,5.82E+20,3.71E-07,1.28E-06,7.01E-04,8.67E-01,6.08E-01,1.63E+01,2.67E+03,7.14E+01,4.57E-01
71,3.51E-07,8.00E-08,9.21E+20,1.46E-07,1.31E-06,5.59E-04,,1.40E+00,7.50E+04,,1.01E-02,3.48E+02
72,3.81E-07,8.00E-08,8.03E+20,3.16E-07,1.31E-06,8.72E-04,,2.18E+00,7.48E+04,,1.60E-02,3.47E+02
73,4.29E-07,1.20E-07,6.14E+20,6.06E-07,1.29E-06,9.27E-04,,2.32E+00,8.24E+04,,3.47E-03,3.49E+02
74,4.81E-07,1.00E-07,1.47E+20,7.02E-07,1.26E-06,2.83E-04,9.63E-01,2.72E-01,4.44E+01,9.02E+03,2.52E+01,1.53E+00
75,4.78E-07,9.00E-08,5.22E+20,2.07E-07,1.26E-06,3.73E-04,9.20E-01,3.43E-01,3.28E+01,4.37E+03,3.81E+01,8.89E-01
76,3.50E-07,1.00E-07,2.77E+20,4.41E-07,1.30E-06,8.06E-04,8.66E-01,6.98E-01,1.46E+01,3.17E+03,6.56E+01,5.01E-01
77,3.54E-07,9.00E-08,4.25E+20,5.96E-07,1.31E-06,9.73E-04,8.55E-01,8.32E-01,1.16E+01,2.60E+03,8.71E+01,5.85E-01
78,3.74E-07,9.00E-08,5.50E+20,2.52E-07,1.27E-06,8.17E-04,8.56E-01,6.99E-01,1.42E+01,2.15E+03,8.33E+01,4.94E-01
79,4.44E-07,1.20E-07,3.33E+19,2.99E-07,1.30E-06,7.97E-04,,1.99E+00,8.98E+04,,2.88E+00,3.72E+01
80,4.73E-07,9.00E-08,1.00E+17,3.49E-07,1.26E-06,8.88E-04,9.58E-01,8.51E-01,1.15E+01,1.94E+03,4.05E+01,6.05E-01
81,4.93E-07,1.00E-07,1.00E+17,4.23E-07,1.27E-06,7.55E-04,9.86E-01,7.44E-01,1.40E+01,2.39E+03,3.57E+01,5.34E-01
82,3.87E-07,9.00E-08,7.32E+20,4.18E-07,1.26E-06,6.50E-04,8.72E-01,5.66E-01,1.73E+01,2.84E+03,6.96E+01,4.50E-01
83,4.76E-07,7.00E-08,8.56E+20,2.76E-07,1.34E-06,9.86E-04,8.47E-01,8.36E-01,1.13E+01,1.94E+03,1.12E+02,5.85E-01
84,4.77E-07,8.00E-08,4.91E+20,2.62E-07,1.32E-06,5.38E-04,,1.35E+00,7.02E+04,,1.02E-02,3.48E+02
85,3.91E-07,8.00E-08,8.38E+20,4.25E-07,1.33E-06,4.23E-04,,1.06E+00,7.09E+04,,8.38E-03,3.48E+02
86,4.78E-07,8.00E-08,6.52E+20,1.69E-07,1.35E-06,9.29E-04,,2.32E+00,6.51E+04,,1.98E-02,3.46E+02
87,3.93E-07,9.00E-08,5.03E+20,3.39E-07,1.26E-06,6.61E-04,8.70E-01,5.75E-01,1.71E+01,2.77E+03,6.70E+01,4.52E-01
88,4.04E-07,8.00E-08,7.12E+20,2.71E-07,1.26E-06,5.23E-04,,1.31E+00,8.46E+04,,5.94E-03,3.49E+02
89,3.90E-07,1.00E-07,6.31E+20,3.14E-07,1.27E-06,7.40E-04,8.64E-01,6.39E-01,1.51E+01,2.60E+03,7.40E+01,4.57E-01
90,3.73E-07,8.00E-08,6.48E+20,5.76E-07,1.28E-06,4.91E-04,,1.23E+00,8.89E+04,,3.05E-03,3.49E+02
91,3.79E-07,9.00E-08,6.56E+20,4.52E-07,1.26E-06,7.88E-04,8.60E-01,6.77E-01,1.39E+01,2.50E+03,8.32E+01,4.65E-01
92,3.93E-07,9.00E-08,5.28E+20,2.62E-07,1.28E-06,7.23E-04,8.64E-01,6.24E-01,1.62E+01,2.45E+03,7.27E+01,4.69E-01
93,4.73E-07,7.00E-08,8.31E+20,4.75E-07,1.32E-06,6.95E-04,8.67E-01,6.03E-01,1.68E+01,2.75E+03,8.02E+01,4.66E-01
94,4.90E-07,7.00E-08,5.68E+20,5.40E-07,1.32E-06,7.45E-04,8.63E-01,6.43E-01,1.55E+01,2.77E+03,8.22E+01,4.70E-01
95,3.51E-07,8.00E-08,2.88E+20,4.92E-07,1.36E-06,2.45E-04,,6.13E-01,6.55E+04,,8.79E-03,3.48E+02
96,4.60E-07,1.00E-07,6.46E+20,5.84E-08,1.28E-06,7.34E-04,8.62E-01,6.33E-01,2.07E+01,2.30E+03,7.29E+01,6.01E-01
97,4.68E-07,7.00E-08,6.20E+20,7.42E-07,1.31E-06,8.60E-04,8.56E-01,7.36E-01,1.29E+01,2.64E+03,9.74E+01,5.05E-01
98,3.79E-07,1.00E-07,1.61E+19,1.08E-07,1.26E-06,4.74E-04,9.14E-01,4.33E-01,2.44E+01,7.08E+03,3.88E+01,5.79E-01
99,4.23E-07,1.20E-07,4.69E+20,4.06E-07,1.29E-06,4.98E-04,,1.24E+00,7.42E+04,,1.34E-01,3.24E+02
100,4.20E-07,1.00E-07,6.37E+20,1.12E-07,1.27E-06,7.93E-04,8.57E-01,6.80E-01,1.62E+01,2.16E+03,7.91E+01,5.21E-01
101,3.80E-07,9.00E-08,4.33E+20,3.83E-07,1.28E-06,7.60E-04,8.62E-01,6.55E-01,1.47E+01,2.59E+03,7.51E+01,4.61E-01
102,4.79E-07,1.00E-07,5.44E+20,1.41E-07,1.26E-06,4.71E-04,8.96E-01,4.22E-01,2.58E+01,3.62E+03,4.63E+01,6.23E-01
103,3.90E-07,1.00E-07,8.33E+20,3.37E-07,1.26E-06,7.12E-04,8.66E-01,6.17E-01,1.57E+01,2.65E+03,7.42E+01,4.50E-01
104,4.87E-07,7.00E-08,8.54E+20,4.77E-07,1.33E-06,8.37E-04,8.57E-01,7.17E-01,1.37E+01,2.44E+03,9.62E+01,5.00E-01
105,4.91E-07,7.00E-08,3.57E+20,5.84E-07,1.32E-06,7.72E-04,8.61E-01,6.65E-01,1.48E+01,2.83E+03,8.02E+01,4.74E-01
106,4.33E-07,8.00E-08,7.29E+20,5.22E-07,1.27E-06,7.55E-04,,1.89E+00,9.33E+04,,4.45E-03,3.49E+02
107,3.73E-07,9.00E-08,6.94E+20,3.55E-07,1.26E-06,6.95E-04,8.66E-01,6.02E-01,1.62E+01,2.56E+03,7.36E+01,4.49E-01
108,4.59E-07,1.30E-07,1.48E+20,2.88E-08,1.36E-06,4.37E-04,9.13E-01,3.99E-01,6.07E+01,5.39E+03,1.32E+01,2.88E+00
109,3.72E-07,9.00E-08,8.35E+20,4.98E-07,1.26E-06,7.13E-04,8.66E-01,6.17E-01,1.55E+01,2.72E+03,7.79E+01,4.47E-01
110,3.81E-07,1.00E-07,3.83E+20,4.60E-07,1.31E-06,7.95E-04,8.62E-01,6.85E-01,1.42E+01,2.95E+03,7.31E+01,4.81E-01
111,3.70E-07,8.00E-08,1.99E+20,7.99E-07,1.34E-06,1.61E-04,,4.03E-01,7.28E+04,,8.13E-02,3.34E+02
112,4.43E-07,9.00E-08,6.54E+20,2.02E-08,1.27E-06,7.47E-04,8.59E-01,6.42E-01,3.08E+01,2.03E+03,7.80E+01,9.98E-01
113,4.86E-07,1.00E-07,1.00E+17,2.75E-07,1.26E-06,8.21E-04,9.68E-01,7.95E-01,1.26E+01,2.29E+03,3.99E+01,5.61E-01
114,4.94E-07,1.00E-07,1.00E+17,3.77E-07,1.29E-06,7.95E-04,9.79E-01,7.78E-01,1.34E+01,2.35E+03,3.73E+01,5.59E-01
115,4.82E-07,7.00E-08,7.67E+20,6.38E-07,1.32E-06,7.08E-04,8.68E-01,6.14E-01,1.65E+01,2.96E+03,8.12E+01,4.67E-01
116,3.92E-07,7.00E-08,5.46E+19,6.15E-07,1.36E-06,6.78E-04,8.74E-01,5.93E-01,1.78E+01,3.83E+03,5.44E+01,4.83E-01
117,4.56E-07,9.00E-08,2.01E+20,1.70E-07,1.35E-06,6.26E-04,8.77E-01,5.49E-01,2.04E+01,3.35E+03,5.13E+01,5.24E-01
118,4.24E-07,7.00E-08,1.80E+20,7.30E-07,1.33E-06,2.45E-04,9.72E-01,2.39E-01,5.57E+01,6.98E+03,2.30E+01,2.36E+00
119,3.96E-07,9.00E-08,6.25E+20,2.09E-07,1.26E-06,7.69E-04,8.59E-01,6.60E-01,1.54E+01,2.19E+03,8.00E+01,4.84E-01
120,4.48E-07,1.10E-07,7.13E+20,7.51E-07,1.31E-06,4.62E-04,,1.16E+00,6.54E+04,,6.06E-01,2.40E+02
121,3.69E-07,9.00E-08,5.70E+20,2.09E-07,1.32E-06,3.32E-04,9.39E-01,3.12E-01,4.01E+01,4.43E+03,3.26E+01,1.27E+00
122,4.46E-07,9.00E-08,1.58E+20,2.42E-07,1.35E-06,9.43E-04,8.52E-01,8.04E-01,1.23E+01,2.64E+03,7.54E+01,5.66E-01
123,4.55E-07,9.00E-08,3.46E+19,2.32E-07,1.35E-06,8.42E-04,8.61E-01,7.25E-01,1.38E+01,4.01E+03,6.23E+01,5.11E-01
