sim_id,w_r,h_si,doping,S,lambda,length,v_pi_V,v_pi_l_Vmm,loss_at_v_pi_dB_per_cm,C_at_v_pi_pF_per_cm,max_dphi_rad,cost
76,4.359181e-07,8.767745e-08,2.901509e+17,2.315553e-07,1.315528e-06,4.267226e-04,,,,,2.749680e+00,1.000000e+09
77,4.359181e-07,8.767745e-08,2.901509e+17,2.315553e-07,1.315528e-06,4.267226e-04,,,,,2.746153e+00,1.000000e+09
78,4.359181e-07,8.767745e-08,2.901509e+17,2.315553e-07,1.315528e-06,4.267226e-04,,,,,2.749016e+00,1.000000e+09
79,4.359181e-07,8.767745e-08,2.901509e+17,2.315553e-07,1.315528e-06,4.267226e-04,,,,,2.748999e+00,1.000000e+09
80,4.359181e-07,8.767745e-08,2.901509e+17,2.315553e-07,1.315528e-06,4.267226e-04,,,,,2.749429e+00,1.000000e+09
81,4.359181e-07,8.767745e-08,2.901509e+17,2.315553e-07,1.315528e-06,4.267226e-04,,,,,2.749925e+00,1.000000e+09
82,4.359181e-07,8.767745e-08,2.901509e+17,2.315553e-07,1.315528e-06,4.267226e-04,,,,,2.748945e+00,1.000000e+09
83,4.359181e-07,8.767745e-08,2.901509e+17,2.315553e-07,1.315528e-06,4.267226e-04,,,,,2.747220e+00,1.000000e+09
84,4.359181e-07,8.767745e-08,2.901509e+17,2.315553e-07,1.315528e-06,4.267226e-04,,,,,2.746790e+00,1.000000e+09
85,4.359181e-07,8.767745e-08,2.901509e+17,2.315553e-07,1.315528e-06,4.267226e-04,,,,,2.746522e+00,1.000000e+09
86,4.359181e-07,8.767745e-08,2.901509e+17,2.315553e-07,1.315528e-06,4.267226e-04,,,,,2.745477e+00,1.000000e+09
87,4.359181e-07,8.767745e-08,2.901509e+17,2.315553e-07,1.315528e-06,4.267226e-04,,,,,2.748384e+00,1.000000e+09
88,4.359181e-07,8.767745e-08,2.901509e+17,2.315553e-07,1.315528e-06,4.267226e-04,,,,,2.749025e+00,1.000000e+09
89,4.359181e-07,8.767745e-08,2.901509e+17,2.315553e-07,1.315528e-06,4.267226e-04,,,,,2.745956e+00,1.000000e+09
90,4.359181e-07,8.767745e-08,2.901509e+17,2.315553e-07,1.315528e-06,4.267226e-04,,,,,2.746468e+00,1.000000e+09
91,4.359181e-07,8.767745e-08,2.901509e+17,2.315553e-07,1.315528e-06,4.267226e-04,,,,,2.746963e+00,1.000000e+09
92,4.359181e-07,8.767745e-08,2.901509e+17,2.315553e-07,1.315528e-06,4.267226e-04,,,,,2.746513e+00,1.000000e+09
93,4.359181e-07,8.767745e-08,2.901509e+17,2.315553e-07,1.315528e-06,4.267226e-04,,,,,2.746019e+00,1.000000e+09
94,4.359181e-07,8.767745e-08,2.901509e+17,2.315553e-07,1.315528e-06,4.267226e-04,,,,,2.749775e+00,1.000000e+09
95,4.359181e-07,8.767745e-08,2.901509e+17,2.315553e-07,1.315528e-06,4.267226e-04,,,,,2.746078e+00,1.000000e+09
96,4.359181e-07,8.767745e-08,2.901509e+17,2.315553e-07,1.315528e-06,4.267226e-04,,,,,2.749147e+00,1.000000e+09
97,4.359181e-07,8.767745e-08,2.901509e+17,2.315553e-07,1.315528e-06,4.267226e-04,,,,,2.749920e+00,1.000000e+09
98,4.359181e-07,8.767745e-08,2.901509e+17,2.315553e-07,1.315528e-06,4.267226e-04,,,,,2.749388e+00,1.000000e+09
