sim_id,w_r,h_si,doping,S,lambda,length,v_pi_V,v_pi_l_Vmm,loss_at_v_pi_dB_per_cm,C_at_v_pi_pF_per_cm,max_dphi_rad,is_valid,norm_loss,norm_vpil,cost,charge_time_s,fde_time_s,total_time_s,intrinsic_width_m,loss_min_dB_per_cm,loss_max_dB_per_cm,C_min_pF_per_cm,C_max_pF_per_cm
5.400000e+01,4.636000e-07,7.779000e-08,8.860000e+17,4.154000e-07,1.338000e-06,4.709000e-04,,,,,2.178463e+00,False,,,1.000000e+09,1.798497e+02,1.255645e+02,3.202055e+02,1.294400e-06,7.692947e+04,7.693315e+04,6.674422e-01,7.278749e+03
5.500000e+01,4.445000e-07,1.183000e-07,5.493000e+17,7.993000e-07,1.340000e-06,7.484000e-04,1.972100e+00,1.475920e+00,7.085257e+04,1.017081e+04,6.397256e+00,True,1.255022e+09,2.178339e+00,3.765065e+08,2.166945e+02,1.289034e+02,3.601716e+02,2.043100e-06,7.083278e+04,7.087219e+04,5.389777e-01,1.017380e+04
5.600000e+01,4.065000e-07,1.151000e-07,1.914000e+17,5.956000e-07,1.297000e-06,1.882000e-04,1.414292e+00,2.661697e-01,7.300262e+01,5.678881e+03,1.031776e+01,True,1.332345e+03,7.084633e-02,3.997532e+02,2.190141e+02,1.333073e+02,3.671823e+02,1.597700e-06,1.438374e-04,2.883398e+02,6.158844e-01,7.816482e+03
5.700000e+01,3.798000e-07,9.298000e-08,7.054000e+17,6.867000e-07,1.279000e-06,2.775000e-04,1.147389e+00,3.184005e-01,4.551628e+01,5.126512e+03,1.949846e+01,True,5.179329e+02,1.013789e-01,1.554508e+02,1.962854e+02,1.285881e+02,3.395888e+02,1.753200e-06,4.541416e-06,3.763184e+02,5.671253e-01,8.180835e+03
5.800000e+01,4.364000e-07,8.105000e-08,5.750000e+17,9.757000e-08,1.330000e-06,1.052000e-04,,,,,5.645703e-01,False,,,1.000000e+09,1.841882e+02,1.264696e+02,3.255788e+02,6.315400e-07,7.976457e+04,7.976779e+04,9.631325e-01,7.614604e+03
5.900000e+01,4.262000e-07,1.298000e-07,6.530000e+17,3.573000e-07,1.309000e-06,4.495000e-04,1.494077e+00,6.715877e-01,9.928329e+03,1.199820e+04,1.481995e+01,True,2.464293e+07,4.510300e-01,7.392878e+06,2.248745e+02,1.266352e+02,3.662435e+02,1.140800e-06,9.837437e+03,1.025267e+04,7.889546e-01,1.346043e+04
6.000000e+01,3.864000e-07,8.204000e-08,6.597000e+17,1.226000e-07,1.304000e-06,9.055000e-04,2.234621e+00,2.023449e+00,8.956081e+04,7.826664e+03,4.403330e+00,True,2.005285e+09,4.094347e+00,6.015855e+08,1.839274e+02,1.252094e+02,3.238270e+02,6.316000e-07,8.954188e+04,8.956776e+04,9.600280e-01,7.844711e+03
61,3.733992e-07,1.219421e-07,7.647139e+17,5.601680e-07,1.284226e-06,6.351647e-04,9.404522e-01,5.973421e-01,1.735965e+01,5.174103e+03,4.856887e+01,True,7.533938e+01,3.568176e-01,2.285159e+01,2.208602e+02,1.297114e+02,3.653595e+02,1.493735e-06,6.902532e-04,4.173169e+02,6.627532e-01,1.235402e+04
62,4.671531e-07,1.017265e-07,1.082815e+17,2.766136e-07,1.261066e-06,7.303725e-04,9.871780e-01,7.210076e-01,1.444458e+01,2.476009e+03,3.640794e+01,True,5.216148e+01,5.198520e-01,1.601234e+01,2.082475e+02,1.326632e+02,3.554432e+02,1.020380e-06,5.292751e-05,2.497539e+02,7.604620e-01,6.314196e+03
63,4.641393e-07,1.005964e-07,3.375267e+17,9.979181e-08,1.317804e-06,9.020197e-04,9.232587e-01,8.327975e-01,1.184725e+01,2.619087e+03,5.966416e+01,True,3.508934e+01,6.935517e-01,1.101229e+01,2.167070e+02,1.255908e+02,3.570834e+02,6.637229e-07,2.156183e-03,3.633938e+02,9.660379e-01,9.275063e+03
