sim_id,w_r,h_si,doping,S,lambda,length,v_pi_V,v_pi_l_Vmm,loss_at_v_pi_dB_per_cm,C_at_v_pi_pF_per_cm,max_dphi_rad,cost
113.0,4.359181e-07,8.767745e-08,2.901509e+17,2.315553e-07,1.315528e-06,0.0004267226,,,,,2.746885,1000000000.0
114.0,4.359181e-07,8.767745e-08,2.901509e+17,2.315553e-07,1.315528e-06,0.0004267226,,,,,2.746904,1000000000.0
115.0,4.359181e-07,8.767745e-08,2.901509e+17,2.315553e-07,1.315528e-06,0.0004267226,,,,,2.747063,1000000000.0
116.0,4.359181e-07,8.767745e-08,2.901509e+17,2.315553e-07,1.315528e-06,0.0004267226,,,,,2.749239,1000000000.0
117.0,4.359181e-07,8.767745e-08,2.901509e+17,2.315553e-07,1.315528e-06,0.0004267226,,,,,2.7497,1000000000.0
118.0,4.359181e-07,8.767745e-08,2.901509e+17,2.315553e-07,1.315528e-06,0.0004267226,,,,,2.746581,1000000000.0
119.0,4.359181e-07,8.767745e-08,2.901509e+17,2.315553e-07,1.315528e-06,0.0004267226,,,,,2.746284,1000000000.0
120.0,4.359181e-07,8.767745e-08,2.901509e+17,2.315553e-07,1.315528e-06,0.0004267226,,,,,2.749003,1000000000.0
121.0,4.359181e-07,8.767745e-08,2.901509e+17,2.315553e-07,1.315528e-06,0.0004267226,,,,,2.748682,1000000000.0
122.0,4.359181e-07,8.767745e-08,2.901509e+17,2.315553e-07,1.315528e-06,0.0004267226,,,,,2.746644,1000000000.0
123.0,4.359181e-07,8.767745e-08,2.901509e+17,2.315553e-07,1.315528e-06,0.0004267226,,,,,2.748185,1000000000.0
124.0,4.359181e-07,8.767745e-08,2.901509e+17,2.315553e-07,1.315528e-06,0.0004267226,,,,,2.745752,1000000000.0
125.0,4.359181e-07,8.767745e-08,2.901509e+17,2.315553e-07,1.315528e-06,0.0004267226,,,,,2.747798,1000000000.0
126.0,4.359181e-07,8.767745e-08,2.901509e+17,2.315553e-07,1.315528e-06,0.0004267226,,,,,2.745958,1000000000.0
127.0,4.359181e-07,8.767745e-08,2.901509e+17,2.315553e-07,1.315528e-06,0.0004267226,,,,,2.746367,1000000000.0
128.0,4.359181e-07,8.767745e-08,2.901509e+17,2.315553e-07,1.315528e-06,0.0004267226,,,,,2.749521,1000000000.0
129.0,4.359181e-07,8.767745e-08,2.901509e+17,2.315553e-07,1.315528e-06,0.0004267226,,,,,2.748973,1000000000.0
130.0,4.359181e-07,8.767745e-08,2.901509e+17,2.315553e-07,1.315528e-06,0.0004267226,,,,,2.747472,1000000000.0
